Year Make Model Fuel,BEV or PHEV,Vehicle Class,Year,Make,Model,Transmission,Recharge Time(h),Seating Capacity,Total range(km),Battery over 15 kWh ?,"BEV, PHEV > 15 kWh or PHEV < 15 kWh",Cylinders,Engine size (L),Fuel Type 1,Fuel Type 2,Incentive available,Purchase,12 m Lease,24 m Lease,36 m Lease,CO2  Rating,Cost per 100km ($),Max Incentive ($),Motor(KW),Price($),Range electricity (km),Range fuel (km),Smog Rating,CO2 Emissions(g/km),Total capacity Battery life(KWH)
2021_Tesla_Model S Performance _BEV,BEV,Full-size,2021,Tesla,Model S Performance,Automatic 1 Gear,12,5,623,Yes,BEV,,,Electricity,None,No,0,0,0,0,10,1.2711,0,580,123700,623,0,10,0,95
2021_Tesla_Model S Plaid _BEV,BEV,Full-size,2021,Tesla,Model S Plaid,Automatic 1 Gear,15,5,637,Yes,BEV,,,Electricity,None,No,0,0,0,0,10,1.21089,0,750,121190,637,0,10,0,100
2021_Tesla_Model X Long Range Plus_BEV,BEV,SUV: Standard,2021,Tesla,Model X Long Range Plus,Automatic 1 Gear,12,7,597,Yes,BEV,,,Electricity,None,No,0,0,0,0,10,1.33131,0,398,123600,597,0,10,0,95
2021_Tesla_Model X Performance _BEV,BEV,SUV: Standard,2021,Tesla,Model X Performance,Automatic 1 Gear,12,7,549,Yes,BEV,,,Electricity,None,No,0,0,0,0,10,1.43835,0,580,111700,549,0,10,0,100
2021_Tesla_Model Y Standard Range_BEV,BEV,SUV: Small,2021,Tesla,Model Y Standard Range,Automatic 1 Gear,8,7,393,Yes,BEV,,,Electricity,None,No,0,0,0,0,10,1.08378,0,211,54900,393,0,10,0,75
2021_Tesla_Model Y Long Range AWD_BEV,BEV,SUV: Small,2021,Tesla,Model Y Long Range AWD,Automatic 1 Gear,10,7,525,Yes,BEV,,,Electricity,None,No,0,0,0,0,10,1.12392,0,358,60990,525,0,10,0,75
2021_Tesla_Model Y Performance_BEV,BEV,SUV: Small,2021,Tesla,Model Y Performance,Automatic 1 Gear,10,7,488,Yes,BEV,,,Electricity,None,No,0,0,0,0,10,1.26441,0,358,62190,488,0,10,0,75
2021_Volkswagen_ID.4 Pro_BEV,BEV,SUV: Small,2021,Volkswagen,ID.4 Pro,Automatic 1 Gear,7.5,5,400,Yes,BEV,,,Electricity,None,No,0,0,0,0,10,1.45173,0,150,39995,400,0,10,0,52
2021_Volkswagen_ID.4 AWD Pro_BEV,BEV,SUV: Small,2021,Volkswagen,ID.4 AWD Pro,Automatic 1 Gear,7.5,5,386,Yes,BEV,,,Electricity,None,No,0,0,0,0,10,1.50525,0,220,43675,386,0,10,0,82
2021_Volvo_XC40 Recharge_BEV,BEV,SUV: Small,2021,Volvo,XC40 Recharge,Automatic 1 Gear,8,5,335,Yes,BEV,,,Electricity,None,No,0,0,0,0,10,1.77954,0,300,64950,335,0,10,0,78
2022_Chevrolet_Bolt_EUV_BEV,BEV,Subcompact,2022,Chevrolet,Bolt EUV,Automatic 1 Gear,4,5,385,Yes,BEV,,,Electricity,Premium Gasoline,No,0,0,0,0,10,1.1546,0,90,40198,385,,10,0,60
